Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@9460a49 | Response: null | Date: 01/07/2023 17:10:20
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@4c449505 | Date: 01/07/2023 17:10:20
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@3c03921d | Response: null | Date: 01/07/2023 17:10:20
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@7dc27acc | Date: 01/07/2023 17:10:20
Command: Server started | Request: null | Response: null | Date: 01/07/2023 17:10:51
Command: Client N1left | Request: null | Response: null | Date: 01/07/2023 17:10:58
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@178f90f7 | Response: null | Date: 01/07/2023 17:11:07
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@62c187b0 | Date: 01/07/2023 17:11:07
Command: Server started | Request: null | Response: null | Date: 01/07/2023 17:11:43
Command: Client N1left | Request: null | Response: null | Date: 01/07/2023 17:11:47
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@733cf5ca | Response: null | Date: 01/07/2023 17:12:02
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@5bea95a2 | Date: 01/07/2023 17:12:02
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@777f99ed | Response: null | Date: 01/07/2023 17:12:07
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@6d0b71f9 | Date: 01/07/2023 17:12:07
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@7aa0af5d | Response: null | Date: 01/07/2023 17:12:07
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@4c128d49 | Date: 01/07/2023 17:12:07
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@35578a26 | Response: null | Date: 01/07/2023 17:12:13
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@1be1f40e | Date: 01/07/2023 17:12:13
Command: Server started | Request: null | Response: null | Date: 01/07/2023 17:13:41
Command: Client N1left | Request: null | Response: null | Date: 01/07/2023 17:13:46
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@178f90f7 | Response: null | Date: 01/07/2023 17:14:04
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@62c187b0 | Date: 01/07/2023 17:14:04
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@3bc2841a | Response: null | Date: 01/07/2023 17:14:20
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@108142b0 | Date: 01/07/2023 17:14:20
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@69a5404f | Response: null | Date: 01/07/2023 17:14:20
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@732b1b09 | Date: 01/07/2023 17:14:20
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@65cd801e | Response: null | Date: 01/07/2023 17:14:24
